id	length	protein_family	keywords
Q9NYL5	469	Cytochrome P450 family	Cholesterol metabolism;Endoplasmic reticulum;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome;Signal;Steroid metabolism;Sterol metabolism;Transmembrane;Transmembrane helix
Q9NYM4	423	G-protein coupled receptor 1 family	Alternative splicing;Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix
Q9NYP8	219	EPCIP family	Glycoprotein;Reference proteome;Secreted;Signal
Q9NYQ6	3014	G-protein coupled receptor 2 family, LN-TM7 subfamily	3D-structure;Alternative splicing;Calcium;Cell membrane;Developmental protein;Disease variant;Disulfide bond;EGF-like domain;G-protein coupled receptor;Glycoprotein;Hydroxylation;Laminin EGF-like domain;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix
Q9NYQ7	3312	G-protein coupled receptor 2 family, LN-TM7 subfamily	Alternative splicing;Calcium;Cell membrane;Developmental protein;Disulfide bond;EGF-like domain;G-protein coupled receptor;Glycoprotein;Hydroxylation;Laminin EGF-like domain;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix
Q9NYQ8	4349		Calcium;Cell adhesion;Cell junction;Cell membrane;Disease variant;Disulfide bond;EGF-like domain;Glycoprotein;Golgi apparatus;Membrane;Neurodegeneration;Proteomics identification;Reference proteome;Repeat;Signal;Spinocerebellar ataxia;Transmembrane;Transmembrane helix
Q9NYU1	1516	Glycosyltransferase 8 family	Alternative splicing;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Phosphoprotein;Proteomics identification;Reference proteome;Signal;Transferase
Q9NYU2	1555	Glycosyltransferase 8 family	Alternative splicing;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Phosphoprotein;Proteomics identification;Reference proteome;Signal;Transferase
Q9NYY1	176	IL-10 family	3D-structure;Alternative splicing;Cytokine;Direct protein sequencing;Disulfide bond;Proteomics identification;Reference proteome;Secreted;Signal
Q9NYZ4	499	Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family	3D-structure;Alternative splicing;Cell adhesion;Disulfide bond;Glycoprotein;Immunoglobulin domain;Lectin;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9NZ20	509	Phospholipase A2 family	Calcium;Cell membrane;Cilium biogenesis/degradation;Cytoplasm;Cytoskeleton;Disulfide bond;Endosome;Glycoprotein;Hydrolase;Lipid metabolism;Mast cell degranulation;Membrane;Metal-binding;Phospholipid metabolism;Proteomics identification;Reference proteome;Secreted;Signal
Q9NZ53	605	Podocalyxin family	Alternative splicing;Cell adhesion;Direct protein sequencing;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Proteoglycan;Proteomics identification;Reference proteome;Sialic acid;Signal;Sulfation;Transmembrane;Transmembrane helix
Q9NZ94	848	Type-B carboxylesterase/lipase family	3D-structure;Alternative splicing;Asperger syndrome;Autism;Autism spectrum disorder;Cell adhesion;Cell membrane;Cell projection;Disease variant;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix
Q9NZC2	230		3D-structure;Alternative splicing;Alzheimer disease;Amyloidosis;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Immunoglobulin domain;Lipid-binding;Membrane;Neurodegeneration;Proteomics identification;Receptor;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix
Q9NZH0	403	G-protein coupled receptor 3 family	Alternative splicing;Cell membrane;Cytoplasmic vesicle;Disease variant;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix
Q9NZJ5	1116	Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily	3D-structure;ADP-ribosylation;ATP-binding;Diabetes mellitus;Disease variant;Endoplasmic reticulum;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Proteomics identification;Reference proteome;Serine/threonine-protein kinase;Signal;Stress response;Transferase;Translation regulation;Transmembrane;Transmembrane helix;Tyrosine-protein kinase;Unfolded protein response
Q9NZK5	511	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, ADGF subfamily	3D-structure;Alternative splicing;Disease variant;Disulfide bond;Glycoprotein;Heparin-binding;Hydrolase;Metal-binding;Proteomics identification;Reference proteome;Secreted;Signal;Zinc
Q9NZK7	142	Phospholipase A2 family	3D-structure;Calcium;Cytoplasm;Disulfide bond;Hydrolase;Inflammatory response;Lipid metabolism;Metal-binding;Phospholipid metabolism;Reference proteome;Secreted;Signal
Q9NZN1	696	Interleukin-1 receptor family	3D-structure;Alternative splicing;Cell membrane;Cell projection;Cytoplasm;Disulfide bond;Glycoprotein;Hydrolase;Immunoglobulin domain;Intellectual disability;Membrane;NAD;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9NZP8	487	Peptidase S1 family	Complement pathway;Disulfide bond;Glycoprotein;Hydrolase;Immunity;Innate immunity;Protease;Proteomics identification;Reference proteome;Secreted;Serine protease;Signal;Sushi
Q9NZQ7	290	Immunoglobulin superfamily, BTN/MOG family	3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Diabetes mellitus;Disulfide bond;Endosome;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Nucleus;Proteomics identification;Receptor;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
Q9NZR2	4599	LDLR family	Calcium;Disulfide bond;EGF-like domain;Endocytosis;Glycoprotein;Membrane;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9NZU0	649		3D-structure;Cell adhesion;Cell junction;Cell membrane;Cell projection;Developmental protein;Disease variant;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Hypogonadotropic hypogonadism;Kallmann syndrome;Leucine-rich repeat;Membrane;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Synapse;Transmembrane;Transmembrane helix
Q9NZU1	674		Alternative initiation;Cell adhesion;Cell junction;Cell membrane;Cell projection;Cytoplasm;Cytoplasmic vesicle;Developmental protein;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Leucine-rich repeat;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix
Q9NZV1	1036		Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix
Q9NZV5	590		Alternative splicing;Desmin-related myopathy;Disease variant;Endoplasmic reticulum;Glycoprotein;Membrane;Myofibrillar myopathy;Oxidoreductase;Proteomics identification;Reference proteome;Selenocysteine;Signal
Q9NZW4	1301		Biomineralization;Calcium;Deafness;Disease variant;Extracellular matrix;Glycoprotein;Phosphoprotein;Proteomics identification;Reference proteome;Secreted;Sialic acid;Signal
Q9P0G3	251	Peptidase S1 family, Kallikrein subfamily	Autocatalytic cleavage;Direct protein sequencing;Disulfide bond;Hydrolase;Protease;Proteomics identification;Reference proteome;Secreted;Serine protease;Signal;Zymogen
Q9P0K1	906		3D-structure;Alternative splicing;Cell adhesion;Cell membrane;Cell projection;Cleavage on pair of basic residues;Disease variant;Disulfide bond;EGF-like domain;Epilepsy;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix
Q9P0K9	293		Cell membrane;Disease variant;Epilepsy;Membrane;Proteomics identification;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix
Q9P0M4	197	IL-17 family	Cytokine;Disulfide bond;Inflammatory response;Proteomics identification;Reference proteome;Secreted;Signal
Q9P0T7	183	TMEM9 family	3D-structure;Endosome;Glycoprotein;Lysosome;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport
Q9P0V8	285		Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix
Q9P0W0	207	Type-I (or alpha/beta) interferon family	Antiviral defense;Coiled coil;Cytokine;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal
Q9P121	344	Immunoglobulin superfamily, IgLON family	3D-structure;Alternative splicing;Cell adhesion;Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;GPI-anchor;Immunoglobulin domain;Lipoprotein;Membrane;Proteomics identification;Reference proteome;Repeat;Signal
Q9P1C3	46		Reference proteome;Secreted;Signal
Q9P1W8	387		3D-structure;Alternative splicing;Cell adhesion;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9P218	1284		3D-structure;Alternative splicing;Collagen;Glycoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal
Q9P232	1028	Immunoglobulin superfamily, Contactin family	3D-structure;Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;GPI-anchor;Immunoglobulin domain;Lipoprotein;Membrane;Proteomics identification;Reference proteome;Repeat;Signal
Q9P244	771	LRFN family	Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix
Q9P246	746		3D-structure;Alternative splicing;Calcium;Calcium transport;Coiled coil;Direct protein sequencing;Endoplasmic reticulum;Glycoprotein;Ion transport;Membrane;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport
Q9P2B2	879		Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Immunoglobulin domain;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9P2E7	1040		3D-structure;Alternative splicing;Calcium;Cell adhesion;Cell membrane;Glycoprotein;Membrane;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9P2E8	410		Golgi apparatus;Membrane;Metal-binding;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation pathway;Zinc;Zinc-finger
Q9P2J2	1179	Immunoglobulin superfamily, Turtle family	3D-structure;Alternative splicing;Cell membrane;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix
Q9P2K2	825		Disulfide bond;Endoplasmic reticulum;Glycoprotein;Proteomics identification;Reference proteome;Secreted;Signal
Q9P2N4	1935		Alternative splicing;Cleavage on pair of basic residues;Disulfide bond;Endoplasmic reticulum;ER-Golgi transport;Extracellular matrix;Glycoprotein;Hydrolase;Metal-binding;Metalloprotease;Protease;Protein transport;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Transport;Zinc;Zymogen
Q9P2S2	1712	Neurexin family	Alternative promoter usage;Alternative splicing;Calcium;Cell adhesion;Cell membrane;Cell projection;Disulfide bond;EGF-like domain;Glycoprotein;Heparan sulfate;Membrane;Metal-binding;Proteoglycan;Proteomics identification;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix
Q9P2V4	623		Cell projection;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Proteomics identification;Reference proteome;Repeat;Sensory transduction;Signal;Transmembrane;Transmembrane helix;Vision
Q9PRF8	122	Beta-2-microglobulin family	Disulfide bond;Immunity;Immunoglobulin domain;MHC I;Secreted;Signal
Q9PT62	523	G-protein coupled receptor Fz/Smo family	Cell membrane;Developmental protein;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix;Wnt signaling pathway
Q9PT75	77	Frog skin active peptide (FSAP) family, Dermatoxin subfamily	Amidation;Amphibian defense peptide;Antibiotic;Antimicrobial;Cleavage on pair of basic residues;Direct protein sequencing;Membrane;Secreted;Signal;Target cell membrane;Target membrane
Q9PT98	97	NPY family	Amidation;Cleavage on pair of basic residues;Hormone;Neuropeptide;Reference proteome;Secreted;Signal
Q9PT99	99	NPY family	Amidation;Cleavage on pair of basic residues;Hormone;Neuropeptide;Reference proteome;Secreted;Signal
Q9PTA0	99	NPY family	Amidation;Cleavage on pair of basic residues;Neuropeptide;Reference proteome;Secreted;Signal
Q9PTC3	201	CNF-like-inhibitor family	Direct protein sequencing;Disulfide bond;Glycoprotein;Phospholipase A2 inhibitor;Secreted;Signal
Q9PTH3	276		Developmental protein;Disulfide bond;Growth factor binding;Growth regulation;Reference proteome;Secreted;Signal
Q9PTQ2	376	TGF-beta family	Cleavage on pair of basic residues;Disulfide bond;Extracellular matrix;Glycoprotein;Growth factor;Mitogen;Reference proteome;Secreted;Signal
Q9PTQ4	145	Sauvagine/corticotropin-releasing factor/urotensin I family	Amidation;Cleavage on pair of basic residues;Hormone;Reference proteome;Secreted;Signal
Q9PTS1	162	Sauvagine/corticotropin-releasing factor/urotensin I family	Amidation;Cleavage on pair of basic residues;Hormone;Reference proteome;Secreted;Signal
Q9PTS8	484	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-9/CHRNA9 sub-subfamily	Calcium;Calcium channel;Calcium transport;Cell membrane;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Metal-binding;Receptor;Reference proteome;Signal;Sodium;Synapse;Transmembrane;Transmembrane helix;Transport
Q9PTT2	225	Pentraxin family	Calcium;Direct protein sequencing;Disulfide bond;Glycoprotein;Lectin;Metal-binding;Secreted;Signal
Q9PTU6	385	ENDOU family	Disulfide bond;Endonuclease;Hydrolase;Lyase;Manganese;Metal-binding;Nuclease;Repeat;RNA-binding;Secreted;Signal
Q9PU28	143	Glycosyl hydrolase 22 family	Antimicrobial;Bacteriolytic enzyme;Disulfide bond;Glycosidase;Hydrolase;Secreted;Signal
Q9PU29	130	Gastrin/cholecystokinin family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Secreted;Signal;Sulfation
Q9PU41	130	Gastrin/cholecystokinin family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Reference proteome;Secreted;Signal;Sulfation
Q9PUF6	1087	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	ATP-binding;Cell membrane;Cell projection;Chemotaxis;Developmental protein;Disulfide bond;Glycoprotein;Golgi apparatus;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase;Ubl conjugation
Q9PUK8	549	G-protein coupled receptor Fz/Smo family	Cell membrane;Developmental protein;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix;Wnt signaling pathway
Q9PUR0	120	Glucagon family	Cleavage on pair of basic residues;Hormone;Reference proteome;Secreted;Signal
Q9PUR1	160	Glucagon family	Cleavage on pair of basic residues;Direct protein sequencing;Hormone;Reference proteome;Secreted;Signal
Q9PUU6	551	G-protein coupled receptor Fz/Smo family	Cell membrane;Developmental protein;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix;Wnt signaling pathway
Q9PVW7	588	Complement C6/C7/C8/C9 family	Calcium;Complement alternate pathway;Complement pathway;Cytolysis;Disulfide bond;EGF-like domain;Glycoprotein;Immunity;Innate immunity;Membrane;Membrane attack complex;Metal-binding;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Transmembrane;Transmembrane beta strand
Q9PVW8	308		Direct protein sequencing;Glycoprotein;Lectin;Repeat;Secreted;Signal
Q9PVZ4	1362	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	ATP-binding;Cell membrane;Cleavage on pair of basic residues;Developmental protein;Disulfide bond;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase
Q9PW68	97	NPY family	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Neuropeptide;Secreted;Signal
Q9PW70	249		Growth regulation;Reference proteome;SH2 domain;Signal transduction inhibitor;Ubl conjugation pathway
Q9PW88	877	G-protein coupled receptor 3 family	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Signal;Transducer;Transmembrane;Transmembrane helix
Q9PW98	146	Glycoprotein hormones subunit beta family	Disulfide bond;Glycoprotein;Hormone;Secreted;Signal
Q9PW99	118	Glycoprotein hormones subunit beta family	Disulfide bond;Glycoprotein;Hormone;Secreted;Signal
Q9PWA0	210		Cytoplasm;Glycoprotein;GTPase activation;Membrane;Nucleus;Reference proteome;Signal transduction inhibitor;Synapse;Synaptosome;Ubl conjugation
Q9PWA1	218		Cytoplasm;Glycoprotein;Lipoprotein;Membrane;Nucleus;Palmitate;Reference proteome;Signal transduction inhibitor;Ubl conjugation
Q9PWB0	272	DAN family	Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
Q9PWG3	217	Somatotropin/prolactin family	Disulfide bond;Hormone;Metal-binding;Secreted;Signal;Zinc
Q9PWG4	231	Somatotropin/prolactin family	Disulfide bond;Glycoprotein;Hormone;Secreted;Signal
Q9PWH2	585	G-protein coupled receptor Fz/Smo family	Cell membrane;Developmental protein;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix;Wnt signaling pathway
Q9PWI3	200	CNF-like-inhibitor family	Direct protein sequencing;Disulfide bond;Glycoprotein;Phospholipase A2 inhibitor;Secreted;Signal
Q9PWI4	202	CNF-like-inhibitor family	Direct protein sequencing;Disulfide bond;Glycoprotein;Phospholipase A2 inhibitor;Secreted;Signal
Q9PWR4	335		Disulfide bond;Immunoglobulin domain;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QUG3	179	Prion family	3D-structure;Amyloid;Cell membrane;Copper;Disulfide bond;Fertilization;Glycoprotein;GPI-anchor;Lipoprotein;Membrane;Metal-binding;Prion;Reference proteome;Signal
Q9QUH3	367	Apolipoprotein A1/A4/E family	Chylomicron;Coiled coil;Endosome;Golgi apparatus;HDL;Lipid transport;Phosphoprotein;Reference proteome;Secreted;Signal;Transport;VLDL
Q9QUJ0	79	DAP10 family	Alternative splicing;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Reference proteome;Signal;Transmembrane;Transmembrane helix
Q9QUK6	835	Toll-like receptor family	3D-structure;Cell membrane;Cell projection;Disease variant;Disulfide bond;Endosome;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
Q9QUK9	246	Peptidase S1 family	Autocatalytic cleavage;Cytoplasmic vesicle;Disulfide bond;Hydrolase;Protease;Reference proteome;Serine protease;Signal;Zymogen
Q9QUL0	211	Somatotropin/prolactin family	Disulfide bond;Glycoprotein;Hormone;Reference proteome;Secreted;Signal
Q9QUL3	142	Phospholipase A2 family	Calcium;Cytoplasm;Disulfide bond;Hydrolase;Inflammatory response;Lipid metabolism;Metal-binding;Phospholipid metabolism;Reference proteome;Secreted;Signal
Q9QUL7	311	Peptidase S1 family, Tryptase subfamily	Disulfide bond;Glycoprotein;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix;Zymogen
Q9QUM0	1033	Integrin alpha chain family	Calcium;Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Integrin;Membrane;Metal-binding;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QUM4	343		Adaptive immunity;Alternative splicing;Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Innate immunity;Membrane;Phagocytosis;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QUN5	212	Somatotropin/prolactin family	Disulfide bond;Glycoprotein;Hormone;Reference proteome;Secreted;Signal
Q9QUN7	784	Toll-like receptor family	3D-structure;Cell membrane;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
Q9QUN9	349	Dickkopf family	Coiled coil;Developmental protein;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal;Wnt signaling pathway
Q9QUR8	664	Semaphorin family	Cell membrane;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;GPI-anchor;Immunoglobulin domain;Inflammatory response;Lipoprotein;Membrane;Methylation;Neurogenesis;Reference proteome;Signal
Q9QW30	2471	NOTCH family	Activator;ANK repeat;Cell membrane;Cytoplasm;Developmental protein;Differentiation;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Notch signaling pathway;Nucleus;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transcription;Transcription regulation;Transmembrane;Transmembrane helix;Ubl conjugation
Q9QWJ9	922	Neuropilin family	3D-structure;Angiogenesis;Calcium;Cell membrane;Cytoplasm;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;Heparan sulfate;Heparin-binding;Membrane;Metal-binding;Mitochondrion;Neurogenesis;Phosphoprotein;Proteoglycan;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QWK4	352		Apoptosis;Cytoplasm;Disulfide bond;Glycoprotein;Immunity;Inflammatory response;Reference proteome;Repeat;Secreted;Signal
Q9QWR8	415	Glycosyl hydrolase 27 family	Disulfide bond;Glycoprotein;Glycosidase;Hydrolase;Lipid metabolism;Lysosome;Phosphoprotein;Reference proteome;Signal
Q9QX05	835	Toll-like receptor family	Cell membrane;Cell projection;Disulfide bond;Endosome;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Leucine-rich repeat;Membrane;NAD;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
Q9QX15	902	CLCR family	Autocatalytic cleavage;Calcium;Cell membrane;Chloride;Glycoprotein;Hydrolase;Ion transport;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Transport;Zinc
Q9QX78	212	SOCS1 family	Cytoplasmic vesicle;Growth regulation;Nucleus;Reference proteome;SH2 domain;Signal transduction inhibitor;Ubl conjugation pathway
Q9QX79	378	Fetuin family	Disulfide bond;Fertilization;Glycoprotein;Metalloenzyme inhibitor;Metalloprotease inhibitor;Phosphoprotein;Protease inhibitor;Reference proteome;Repeat;Secreted;Signal
Q9QX82	195	CD164 family	Cell adhesion;Cell membrane;Direct protein sequencing;Endosome;Glycoprotein;Lysosome;Membrane;Myogenesis;Reference proteome;Signal;Transmembrane;Transmembrane helix
Q9QXC1	388	Fetuin family	3D-structure;Disulfide bond;Fertilization;Glycoprotein;Metalloenzyme inhibitor;Metalloprotease inhibitor;Phosphoprotein;Protease inhibitor;Reference proteome;Repeat;Secreted;Signal
Q9QXE5	509	Peptidase S28 family	Cytoplasmic vesicle;Glycoprotein;Hydrolase;Protease;Reference proteome;Serine protease;Signal
Q9QXH4	1169	Integrin alpha chain family	Calcium;Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Integrin;Magnesium;Membrane;Metal-binding;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QXK8	174	NmU family	Amidation;Cleavage on pair of basic residues;Neuropeptide;Oxidation;Reference proteome;Secreted;Signal
Q9QXN2	99	PATE family	Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
Q9QXP7	281		Collagen;Glycoprotein;Reference proteome;Secreted;Signal
Q9QXQ5	351	Wnt family	Developmental protein;Disulfide bond;Extracellular matrix;Glycoprotein;Lipoprotein;Reference proteome;Secreted;Signal;Wnt signaling pathway
Q9QXQ6	115	Galanin family	Cleavage on pair of basic residues;Hormone;Neuropeptide;Reference proteome;Secreted;Signal
Q9QXQ7	380	Wnt family	Chondrogenesis;Developmental protein;Differentiation;Disulfide bond;Extracellular matrix;Glycoprotein;Lipoprotein;Reference proteome;Secreted;Signal;Wnt signaling pathway
Q9QXT0	182	Canopy family	Disulfide bond;Endoplasmic reticulum;Phosphoprotein;Reference proteome;Signal
Q9QXT5	275		Alternative splicing;Angiogenesis;Calcium;Cell adhesion;Coiled coil;Developmental protein;Differentiation;Disulfide bond;EGF-like domain;Reference proteome;Repeat;Secreted;Signal
Q9QXT6	180	IL-17 family	Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
Q9QXU1	172	Calycin superfamily, Lipocalin family	Allergen;Cytoplasm;Direct protein sequencing;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal
Q9QXU7	128	AVIT (prokineticin) family	Alternative splicing;Biological rhythms;Disulfide bond;Neuropeptide;Reference proteome;Secreted;Signal
Q9QXU9	260		Cleavage on pair of basic residues;Golgi apparatus;Neuropeptide;Reference proteome;Secreted;Signal
Q9QXV0	258		Cleavage on pair of basic residues;Golgi apparatus;Neuropeptide;Reference proteome;Secreted;Signal
Q9QXX0	1218		Calcium;Cell membrane;Developmental protein;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Notch signaling pathway;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QXX2	170	Type II (or gamma) interferon family	Antiviral defense;Cytokine;Glycoprotein;Growth regulation;Secreted;Signal
Q9QXX3	151	Phospholipase A2 family	Calcium;Cleavage on pair of basic residues;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid metabolism;Lysosome;Metal-binding;Phospholipid metabolism;Reference proteome;Secreted;Signal
Q9QXY8	97	Intercrine beta (chemokine CC) family	Chemotaxis;Cytokine;Disulfide bond;Glycoprotein;Heparin-binding;Inflammatory response;Pyrrolidone carboxylic acid;Reference proteome;Secreted;Signal
Q9QY05	191	Insulin family	Cleavage on pair of basic residues;Disulfide bond;Hormone;Reference proteome;Secreted;Signal
Q9QY10	238	Fibroblast growth factor-binding protein family	Cell membrane;Disulfide bond;Glycoprotein;Growth factor binding;Membrane;Reference proteome;Secreted;Signal
Q9QY40	1902	Plexin family	Cell membrane;Disulfide bond;Glycoprotein;Membrane;Neurogenesis;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
Q9QY42	600	G-protein coupled receptor 1 family	Alternative splicing;Cell membrane;Cell projection;Disulfide bond;Endoplasmic reticulum;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Synapse;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation
Q9QY48	354	DNase II family	Endonuclease;Glycoprotein;Hydrolase;Lysosome;Nuclease;Reference proteome;Signal
