Entry	Length	Protein families	Keywords
P84690	10		Direct protein sequencing;Secreted;Toxin
P84691	10		Direct protein sequencing;Secreted;Toxin
P84692	10		Direct protein sequencing;Secreted;Toxin
P84693	84	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P84694	10		Direct protein sequencing;Secreted;Toxin
P84698	34	Conotoxin G superfamily	Amidation;Bromination;Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P84700	8	Conophan family	D-amino acid;Direct protein sequencing;Hydroxylation;Neurotoxin;Secreted;Toxin
P84701	8	Conophan family	D-amino acid;Direct protein sequencing;Hydroxylation;Neurotoxin;Secreted;Toxin
P84704	117	Conotoxin R superfamily	3D-structure;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Neurotoxin;Secreted;Signal;Toxin
P84705	27	Conotoxin R superfamily	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84706	27	Conotoxin R superfamily	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84707	122	Conotoxin R superfamily	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P84713	13		Amidation;Direct protein sequencing;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P84715	121	Natriuretic peptide family	D-amino acid;Direct protein sequencing;Hypotensive agent;Ion channel;Ion transport;Neurotoxin;Potassium;Potassium channel;Potassium transport;Reference proteome;Secreted;Signal;Sodium;Sodium channel;Sodium transport;Toxin;Transport;Vasoactive;Vasodilator
P84716	61	Three-finger toxin family, Short-chain subfamily, Orphan group III sub-subfamily	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84744	28	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily	Amidation;Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P84745	11		Direct protein sequencing;Hydroxylation;Secreted;Toxin
P84746	12		Direct protein sequencing;Hypotensive agent;Secreted;Toxin;Vasoactive
P84747	12		Direct protein sequencing;Methylation;Secreted;Toxin
P84756	55	Spiderine family, Spiderine subfamily	Amidation;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P84776	121	Phospholipase A2 family, Group II subfamily, R49 sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Myotoxin;Secreted;Toxin
P84777	61	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 15 subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P84787	233	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade activating toxin;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Hypotensive agent;Protease;Secreted;Serine protease;Toxin
P84788	233	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade activating toxin;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Protease;Secreted;Serine protease;Toxin
P84803	23	CRISP family	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84804	14	CRISP family	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84805	239	CRISP family	Calcium channel impairing toxin;Calcium-activated potassium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Ryanodine-sensitive calcium-release channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P84806	25	CRISP family	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84807	29	CRISP family	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P84808	238	CRISP family	Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P84809	95	Long (3 C-C) scorpion toxin superfamily	Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;RNA editing;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P84810	91	Long (3 C-C) scorpion toxin superfamily	Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;RNA editing;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P84835	36	Neurotoxin 10 (Hwtx-1) family, 44 (Jztx-4) subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P84836	36	Neurotoxin 10 (Hwtx-1) family, 44 (Jztx-4) subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P84837	33	Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P84845	59	Conotoxin T superfamily	Alternative splicing;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P84864	36	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin
P84907	202	Venom metalloproteinase (M12B) family, P-I subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Platelet aggregation inhibiting toxin;Protease;Pyrrolidone carboxylic acid;Secreted;Toxin;Zinc
P84914	14	MCD family, Mastoparan subfamily	Amidation;Chemotaxis;Cytolysis;Direct protein sequencing;G-protein coupled receptor;G-protein coupled receptor impairing toxin;Mast cell degranulation;Membrane;Receptor;Secreted;Target cell membrane;Target membrane;Toxin;Transducer
P84915	14	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Chemotaxis;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Myotoxin;Secreted;Target cell membrane;Target membrane;Toxin
P85005	15	Venom metalloproteinase (M12B) family	Direct protein sequencing;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Platelet aggregation activating toxin;Protease;Secreted;Toxin;Zinc
P85006	28	Venom metalloproteinase (M12B) family	Direct protein sequencing;Hydrolase;Metal-binding;Metalloprotease;Protease;Secreted;Toxin;Zinc
P85009	12	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P85010	12	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P85011	12	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P85012	13	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P85013	66	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P85014	7	Conophan family	D-amino acid;Direct protein sequencing;Hydroxylation;Neurotoxin;Secreted;Toxin
P85015	7	Conophan family	D-amino acid;Direct protein sequencing;Hydroxylation;Neurotoxin;Secreted;Toxin
P85016	17	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P85017	16	Conotoxin M superfamily	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P85018	19	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P85019	13	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P85020	17	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Secreted;Toxin
P85021	51	Conotoxin M superfamily	3D-structure;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P85022	15	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P85023	17	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Secreted;Toxin
P85024	11	Bradykinin inhibitor peptide family	Bradykinin receptor impairing toxin;Direct protein sequencing;G-protein coupled receptor impairing toxin;Secreted;Toxin;Vasoactive
P85025	12	Bradykinin inhibitor peptide family	Bradykinin receptor impairing toxin;Direct protein sequencing;G-protein coupled receptor impairing toxin;Secreted;Toxin;Vasoactive
P85033	44	Neurotoxin 04 (omega-agtx) family, 03 (type II/III omega-agtx) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85034	44	Neurotoxin 04 (omega-agtx) family, 03 (type II/III omega-agtx) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85038	11	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P85060	30	Phospholipase A2 family, Group I subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Myotoxin;Secreted;Toxin
P85061	30	Phospholipase A2 family, Group I subfamily	Calcium;Direct protein sequencing;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Myotoxin;Secreted;Toxin
P85062	29	Phospholipase A2 family, Group I subfamily	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Myotoxin;Secreted;Toxin
P85066	34	Short scorpion toxin superfamily, Chloride channel inhibitor family	Amidation;Chloride channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Secreted;Toxin;Voltage-gated chloride channel impairing toxin
P85079	87	Neurotoxin omega-lctx family	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P85092	65	Three-finger toxin family, Short-chain subfamily, Aminergic toxin sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Pharmaceutical;Secreted;Toxin
P85103	10	Venom metalloproteinase (M12B) family	Calcium;Direct protein sequencing;Hemorrhagic toxin;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Platelet aggregation inhibiting toxin;Protease;Secreted;Toxin
P85109	236	Peptidase S1 family, Snake venom subfamily	Blood coagulation cascade activating toxin;Direct protein sequencing;Disulfide bond;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Protease;Secreted;Serine protease;Toxin
P85117	29	Neurotoxin 30 (phrixotoxin) family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P85140	73	Three-finger toxin family, Long-chain subfamily, Type II alpha-neurotoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P85141	9	Vasopressin/oxytocin family	Amidation;Calcium;Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Gamma-carboxyglutamic acid;Metal-binding;Secreted;Toxin
P85159	9	ATP:guanido phosphotransferase family	Direct protein sequencing;Secreted;Toxin;Vasoactive;Vasoconstrictor
P85160	7	Bradykinin-potentiating peptide family	Direct protein sequencing;G-protein coupled acetylcholine receptor impairing toxin;G-protein coupled receptor impairing toxin;Hypotensive agent;Pyrrolidone carboxylic acid;Secreted;Toxin
P85161	11	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P85162	12	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Pharmaceutical;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P85163	14	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P85168	12	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P85169	13	Bradykinin-potentiating peptide family	Direct protein sequencing;Hypotensive agent;Metalloenzyme inhibitor;Metalloprotease inhibitor;Protease inhibitor;Pyrrolidone carboxylic acid;Secreted;Toxin
P85235	18	Neurotoxin 03 (Tx2) family, 06 subfamily	Direct protein sequencing;Disulfide bond;Knottin;Neurotoxin;Secreted;Toxin
P85247	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85253	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85254	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85255	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85256	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85257	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85258	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85259	129	Cationic peptide 06 (cytoinsectotoxin) family	Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Hemolysis;Secreted;Signal;Toxin
P85262	44	Neurotoxin 03 (Tx2) family, 05 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Knottin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85263	31	Neurotoxin 03 (Tx2) family, 05 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Knottin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85264	28	Neurotoxin 03 (Tx2) family, 05 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85265	40	Neurotoxin 03 (Tx2) family, 05 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Knottin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85266	23	Neurotoxin 03 (Tx2) family, 05 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Ionotropic glutamate receptor inhibitor;Knottin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85267	31	Neurotoxin 02 (plectoxin) family, 09 subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85268	30	Neurotoxin 02 (plectoxin) family	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85269	37	Neurotoxin 02 (plectoxin) family	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85270	23	Neurotoxin 02 (plectoxin) family, 01 (Tx3) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85271	24	Neurotoxin 04 (omega-agtx) family, 03 (type II/III omega-agtx) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85272	39	Neurotoxin 04 (omega-agtx) family, 03 (type II/III omega-agtx) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85273	31	Neurotoxin 04 (omega-agtx) family, 03 (type II/III omega-agtx) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85274	12	Neurotoxin 09 (Tx3-6) family	Direct protein sequencing;Neurotoxin;Secreted;Toxin
P85275	31	Neurotoxin 03 (Tx2) family, 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85276	35	Neurotoxin 03 (Tx2) family, 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85277	25	Neurotoxin 03 (Tx2) family, 06 subfamily	Direct protein sequencing;Disulfide bond;Knottin;Neurotoxin;Secreted;Toxin
P85314	205	Venom metalloproteinase (M12B) family, P-I subfamily	3D-structure;Calcium;Direct protein sequencing;Disulfide bond;Fibrinogenolytic toxin;Fibrinolytic toxin;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Protease;Secreted;Toxin;Zinc
P85420	202	Venom metalloproteinase (M12B) family, P-I subfamily	Calcium;Direct protein sequencing;Disulfide bond;Fibrinolytic toxin;Hemorrhagic toxin;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Platelet aggregation inhibiting toxin;Protease;Secreted;Toxin;Zinc
P85429	15	Three-finger toxin family, Short-chain subfamily, Type IA cytotoxin sub-subfamily	Cardiotoxin;Cytolysis;Direct protein sequencing;Disulfide bond;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P85497	39	Neurotoxin 12 (Hwtx-2) family, 06 (TXP1) subfamily	Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85504	39	Neurotoxin 12 (Hwtx-2) family, 06 (TXP1) subfamily	3D-structure;Calcium channel impairing toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated calcium channel impairing toxin
P85505	37	Neurotoxin 01 (U2-agtx) family	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85506	40	Neurotoxin 19 (CSTX) family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P85520	65	Three-finger toxin family, Ancestral subfamily, Orphan group II sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P85528	35	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P85529	38	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 02 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P85842	86	Venom metalloproteinase (M12B) family	Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Metal-binding;Metalloprotease;Neurotoxin;Presynaptic neurotoxin;Protease;Secreted;Toxin;Zinc
P85871	12	FARP (FMRFamide related peptide) family	Amidation;Direct protein sequencing;Gamma-carboxyglutamic acid;Neurotoxin;Secreted;Toxin
P85873	11	Bradykinin-related peptide family	Bradykinin receptor impairing toxin;Direct protein sequencing;G-protein coupled receptor impairing toxin;Hypotensive agent;Secreted;Toxin;Vasoactive;Vasodilator
P85874	17	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P85886	69	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P85975	19	Venom metalloproteinase (M12B) family	Direct protein sequencing;Fibrinogenolytic toxin;Fibrinolytic toxin;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Platelet aggregation inhibiting toxin;Protease;Secreted;Toxin;Zinc
P86092	324	Venom metalloproteinase (M12B) family, P-III subfamily, P-IIIa sub-subfamily	Calcium;Direct protein sequencing;Disulfide bond;Fibrinogenolytic toxin;Fibrinolytic toxin;Glycoprotein;Hemorrhagic toxin;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Platelet aggregation inhibiting toxin;Protease;Secreted;Toxin;Zinc
P86094	58	Three-finger toxin family, Short-chain subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P86095	59	Three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P86096	64	Three-finger toxin family, Ancestral subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P86097	60	Three-finger toxin family, Short-chain subfamily, Type I alpha-neurotoxin sub-subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P86098	64	Three-finger toxin family, Ancestral subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P86099	64	Three-finger toxin family, Ancestral subfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P86105	14	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Toxin
P86106	24	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Toxin
P86110	70	Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P86115	26	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Toxin
P86116	34	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 06 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Potassium channel impairing toxin;Secreted;Toxin
P86117	13		Direct protein sequencing;Secreted;Toxin
P86121	15	Long chain scorpion toxin family, Class 3 subfamily	Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Secreted;Toxin
P86146	79	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Fungicide;Immunity;Innate immunity;Membrane;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P86147	71	MCD family, Protonectin subfamily	Amidation;Antibiotic;Antimicrobial;Cytolysis;Direct protein sequencing;Fungicide;Immunity;Innate immunity;Membrane;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P86166	34		Amidation;Direct protein sequencing;Disulfide bond;Secreted;Toxin
P86169	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily	Antibiotic;Antimicrobial;Calcium;Direct protein sequencing;Disulfide bond;Hydrolase;Lipid degradation;Lipid metabolism;Metal-binding;Neurotoxin;Presynaptic neurotoxin;Secreted;Toxin
P86193	42	Crotamine-myotoxin family	Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Myotoxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P86194	42	Crotamine-myotoxin family	Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Myotoxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P86255	8	Vasopressin/oxytocin family	Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Toxin
P86256	12	Conotoxin T superfamily	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Neurotoxin;Oxidation;Secreted;Toxin
P86257	12	Conotoxin T superfamily	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Neurotoxin;Oxidation;Pyrrolidone carboxylic acid;Secreted;Toxin
